filename,url,size_bytes,size_mb
BellaChairRoom1.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BellaChairRoom1.jpg,93111,0.09
Bellville_PBRecliner_Oxford-Cabernet&Randall_Eugene-Espresso_2023.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bellville_PBRecliner_Oxford-Cabernet%26Randall_Eugene-Espresso_2023.jpg,343670,0.33
Bellville_PBRecliner_Oxford-Cabernet_2023.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bellville_PBRecliner_Oxford-Cabernet_2023.jpg,295932,0.28
Benjamin_S-LV-Chair_Valentino Cognac.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Benjamin_S-LV-Chair_Valentino%20Cognac.jpg,229818,0.22
BennettSofaRoom1.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BennettSofaRoom1.jpg,203328,0.19
BentleyChairRoom1.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BentleyChairRoom1.jpg,153058,0.15
Bergamo-Murano32_2C-Sofa_Recliner_Bella-Dolce-Chestnut_RS_021719.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo-Murano32_2C-Sofa_Recliner_Bella-Dolce-Chestnut_RS_021719.jpg,227994,0.22
Bergamo_Bellini 24-RS no cocktail.jpg.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Bellini%2024-RS%20no%20cocktail.jpg.jpg,187824,0.18
Bergamo_Bellini 24-RS.jpg  Reverse.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Bellini%2024-RS.jpg%20%20Reverse.jpg,201185,0.19
Bergamo_Manzoni 32_Sardinia 28-RS 2 (006).jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Manzoni%2032_Sardinia%2028-RS%202%20%28006%29.jpg,150007,0.14
Bergamo_Manzoni24_3CSofa-28Chair_UrbanRiver.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Manzoni24_3CSofa-28Chair_UrbanRiver.jpg,224586,0.21
Bergamo_Manzoni32-2C-Sofa_Sardinia28-Recliner_Delmar-Notte_RS_051819 Cropped.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Manzoni32-2C-Sofa_Sardinia28-Recliner_Delmar-Notte_RS_051819%20Cropped.jpg,120860,0.12
Bergamo_Manzoni32-2C-Sofa_Sardinia28-Recliner_Delmar-Notte_RS_051819.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Manzoni32-2C-Sofa_Sardinia28-Recliner_Delmar-Notte_RS_051819.jpg,127550,0.12
Bergamo_Murano 32_Moderno 24-Cropped.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Murano%2032_Moderno%2024-Cropped.jpg,116644,0.11
Bergamo_Murano32-2CSofa_28Recl_ Amalfi Lipstick_2022.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Murano32-2CSofa_28Recl_%20Amalfi%20Lipstick_2022.jpg,185185,0.18
Bergamo_Murano32_2C-Sofa_Moderno24_Recliner_Essence-Coal_RS_051819.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Murano32_2C-Sofa_Moderno24_Recliner_Essence-Coal_RS_051819.jpg,154377,0.15
Bergamo_Ponza28_Sect__SoftSations-Ash_RS_031119.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Ponza28_Sect__SoftSations-Ash_RS_031119.jpg,145504,0.14
Bergamo_Ponza_Sect_SoftSations-Ash_050219.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Ponza_Sect_SoftSations-Ash_050219.jpg,132270,0.13
Bergamo_Sardinia28_Sofa&Sardinia32 Sofa_SaloonLuna_102020.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Sardinia28_Sofa%26Sardinia32%20Sofa_SaloonLuna_102020.jpg,237295,0.23
Bergamo_Sardinia_Curve-Sectional_SS Ice-Cropped.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Sardinia_Curve-Sectional_SS%20Ice-Cropped.jpg,178481,0.17
Bergamo_Sardinia_Curve-Sectional_SS Ice.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Bergamo_Sardinia_Curve-Sectional_SS%20Ice.jpg,213948,0.2
Billie Sect__DuranFern.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Billie%20Sect__DuranFern.jpg,213208,0.2
Billie_3CSofa_Wilder-Chocolate_.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Billie_3CSofa_Wilder-Chocolate_.jpg,312117,0.3
BreckenridgeChairRS_SaloonMushroom_2021.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BreckenridgeChairRS_SaloonMushroom_2021.jpg,180359,0.17
BreckenridgeRS_SaloonMushroom_2021.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BreckenridgeRS_SaloonMushroom_2021.jpg,276537,0.26
Breckenridge_3CSofa_LegendsDkCloud_2021 Cropped.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Breckenridge_3CSofa_LegendsDkCloud_2021%20Cropped.jpg,275667,0.26
Breckenridge_3CSofa_LegendsDkCloud_2021.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Breckenridge_3CSofa_LegendsDkCloud_2021.jpg,263354,0.25
Breckenridge_3C_GrandCanyon-Bisque_Ogden_Room 2023.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Breckenridge_3C_GrandCanyon-Bisque_Ogden_Room%202023.jpg,226589,0.22
Breckenridge_3C_GrandCanyon-Bisque_Ogden_Room-CROPPED.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Breckenridge_3C_GrandCanyon-Bisque_Ogden_Room-CROPPED.jpg,165195,0.16
Breckenridge_Sofa_RS-2_101016.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Breckenridge_Sofa_RS-2_101016.jpg,200273,0.19
Brisbane Sect Corona Grand Canyon Ortis.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Brisbane%20Sect%20Corona%20Grand%20Canyon%20Ortis.jpg,236707,0.23
